client_uuid,loan_uuid,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due,segment
1004,154,2019-10-24,2852533,2023-10-24,2023-10-24,910934.99,127,High Risk
1131,155,2021-01-08,7405215,2023-01-08,2023-01-08,5123265.88,0,Standard
62,156,2021-02-13,8608946,2025-02-13,2025-02-13,7885725.8,290,High Risk
1308,157,2023-10-21,4049631,2025-07-20,2025-04-21,2955067.85,0,Standard
1430,158,2023-08-28,11399879,2026-08-28,2026-08-28,8281973.03,0,Standard
1894,159,2021-06-30,5524696,2025-06-30,2025-06-30,4330958.08,0,Standard
654,160,2020-02-27,187172,2021-11-25,2021-08-27,182284.57,299,High Risk
1274,161,2020-06-15,254965,2025-09-13,2025-06-15,73383.44,0,Prime
1281,162,2019-08-27,873561,2021-02-27,2021-02-27,698802.97,66,Subprime
1632,163,2019-10-04,2512245,2024-10-04,2024-10-04,1140671.12,0,Prime
547,164,2023-07-30,61483,2026-07-30,2026-07-30,50195.32,0, subprime
304,165,2023-09-30,2606536,2027-09-30,2027-09-30,2443629.55,150,High Risk
1538,166,2020-03-04,629268,2021-09-04,2021-09-04,210635.51,108,High Risk
150,167,2019-11-24,3199210,2022-11-24,2022-11-24,1171432.61,31,Subprime
1448,168,2023-02-14,5644064,2028-02-14,2028-02-14,1842663.19,0, subprime
311,169,2021-08-03,1953963,2025-08-03,2025-08-03,643004.41,0,
956,170,2022-11-09,17232489,2024-11-09,2024-11-09,11011414.66,122,High Risk
308,171,2022-07-19,744142,2023-07-19,2023-07-19,446874.23,64,Subprime
668,172,2019-04-08,11426076,2023-04-08,2023-04-08,9130372.21,0,Standard
1968,173,2023-09-25,1134019,2024-09-25,2024-09-25,354614.33,0,Prime
400,174,2020-08-12,987777,2024-11-10,2024-08-12,511894.34,32,Subprime
18,175,2020-08-17,2953917,2024-11-15,2024-08-17,1338843.63,50,Subprime
1625,176,2020-07-02,1085866,2022-04-02,2022-01-02,938199.88,0,Standard
913,177,2023-03-06,650141,2028-03-06,2028-03-06,245307.66,0,STANDARD
1818,178,2019-08-06,4288591,2020-08-06,2020-08-06,2823749.76,0,
601,179,2023-01-22,1570713,2024-10-20,2024-07-22,651129.66,0, subprime
1583,180,2020-04-12,92765,2021-10-12,2021-10-12,84826.04,278, subprime
20,181,2022-11-22,52394,2025-11-22,2025-11-22,50092.62,0,Standard
1370,182,2020-09-01,154642,2024-09-01,2024-09-01,49537.36,233,High Risk
143,183,2022-06-05,527579,2023-12-05,2023-12-05,264833.5,0,Standard
310,184,2021-04-11,647086,2025-07-10,2025-04-11,496853.15,41,Subprime
822,185,2020-03-14,549008,2021-12-13,2021-09-14,442456.78,0,Standard
1998,186,2019-06-21,917004,2024-06-21,2024-06-21,393824.79,0,Prime
672,187,2020-03-07,2318981,2021-03-07,2021-03-07,1674915.68,0,STANDARD
1904,188,2019-02-17,3102528,2022-02-17,2022-02-17,1199355.1,0,N/A
1326,189,2022-02-11,691248,2023-02-11,2023-02-11,671551.27,343,prime
1893,190,2023-06-24,3733092,2024-06-24,2024-06-24,2570755.94,138,high risk 
299,191,2023-12-13,1638032,2028-12-13,2028-12-13,1063935.16,0,Standard
1972,192,2022-08-11,3434394,2024-05-11,2024-02-11,1160342.94,0,Prime
1644,193,2022-08-31,208945,2027-08-31,2027-08-31,124934.17,0,STANDARD
1058,194,2023-11-08,2576830,2024-11-08,2024-11-08,866597.06,0,Prime
570,195,2023-12-10,56985,2025-12-10,2025-12-10,53237.7,0, subprime
1275,196,2019-07-15,372139,2023-07-15,2023-07-15,330872.45,0,Standard
369,197,2022-11-06,159676,2023-11-06,2023-11-06,137279.44,0,Standard
108,198,2020-03-05,5825655,2021-09-05,2021-09-05,2929876.37,0,N/A
1098,199,2021-09-02,122230,2024-09-02,2024-09-02,27432.17,0,Prime
730,200,2020-03-05,205472,2022-03-05,2022-03-05,60560.16,237,N/A
986,201,2020-06-07,710035,2024-06-07,2024-06-07,391255.59,0,Standard
1211,202,2019-04-13,4035790,2024-04-13,2024-04-13,2665167.77,0,Standard
148,203,2021-06-07,6379861,2023-06-07,2023-06-07,1651788.19,0,Prime
1917,204,2021-12-09,856099,2022-12-09,2022-12-09,546550.71,66,Subprime
125,205,2019-10-04,18280698,2020-10-04,2020-10-04,17506239.95,0,N/A
1257,206,2021-01-11,3594883,2022-04-11,2022-01-11,1144251.78,291,High Risk
220,207,2021-07-24,247455,2022-07-24,2022-07-24,105205.48,176,High Risk
424,208,2022-06-16,484687,2023-06-16,2023-06-16,295034.81,329,High Risk
1864,209,2021-08-23,773558,2023-02-23,2023-02-23,586417.6,0,Standard
791,210,2022-11-27,879369,2024-05-27,2024-05-27,725992.24,0,Standard
1326,211,2021-12-18,200962,2025-12-18,2025-12-18,177045.55,0,N/A
654,212,2023-06-15,137627,2024-12-15,2024-12-15,82234.39,94, subprime
568,213,2023-02-20,941430,2024-08-20,2024-08-20,596032.48,0,Standard
1072,214,2021-09-09,36923,2025-12-08,2025-09-09,15003.76,331,High Risk
1475,215,2023-01-01,185816,2028-01-01,2028-01-01,138764.87,0,Standard
879,216,2020-12-27,2280067,2023-12-27,2023-12-27,833842.66,0,Prime
1531,217,2020-10-04,650222,2021-10-04,2021-10-04,244664.87,0,Prime
1264,218,2022-04-22,3626974,2027-04-22,2027-04-22,1152470.95,0,Prime
709,219,2019-10-24,881274,2021-10-24,2021-10-24,306875.72,0,Prime
1520,220,2019-03-12,18655247,2020-09-12,2020-09-12,11518190.08,0,Standard
140,221,2021-01-09,5713071,2024-01-09,2024-01-09,4605504.79,321,High Risk
263,222,2020-01-22,417514,2022-01-22,2022-01-22,248038.97,0,STANDARD
490,223,2023-05-21,151055,2025-05-21,2025-05-21,47327.89,0,Prime
111,224,2020-06-23,308148,2024-09-21,2024-06-23,226050.79,0,high risk 
1196,225,2020-09-20,587311,2023-09-20,2023-09-20,381035.04,0,high risk 
318,226,2022-09-14,465460,2025-09-14,2025-09-14,137662.71,104,High Risk
1730,227,2019-08-09,68241,2024-08-09,2024-08-09,13983.22,0,Prime
1283,228,2021-01-13,666330,2022-10-11,2022-07-13,508220.99,0,Standard
1560,229,2020-03-01,2198328,2025-03-01,2025-03-01,1171020.03,0,
33,230,2023-05-19,977897,2028-05-19,2028-05-19,345557.3,169,Unknown
1650,231,2020-12-21,10139035,2022-06-21,2022-06-21,3154462.08,0,Prime
1286,232,2023-04-04,8380461,2025-07-03,2025-04-04,5232189.64,0,Standard
1283,233,2020-07-06,554049,2021-07-06,2021-07-06,207747.1,0,Prime
55,234,2023-03-19,885255,2024-03-19,2024-03-19,335739.85,0, subprime
1317,235,2023-08-20,947796,2025-11-18,2025-08-20,571788.33,0,Standard
44,236,2022-12-29,86330,2024-09-27,2024-06-29,50039.4,0,Standard
1643,237,2022-02-16,385497,2027-02-16,2027-02-16,331410.79,0,prime
1605,238,2020-07-21,397302,2025-07-21,2025-07-21,379742.64,211,High Risk
1047,239,2021-09-16,608566,2022-09-16,2022-09-16,485995.53,113,High Risk
465,240,2020-06-17,11207188,2023-06-17,2023-06-17,6644444.97,37,Subprime
1669,241,2020-11-13,480673,2021-11-13,2021-11-13,347349.92,0,Standard
1784,242,2021-07-08,689365,2023-01-08,2023-01-08,410822.5,0,Standard
366,243,2022-09-15,90002,2027-12-14,2027-09-15,55928.59,0, subprime
1346,244,2022-12-21,8162548,2026-12-21,2026-12-21,4747601.33,0,Standard
402,245,2022-12-19,332575,2023-12-19,2023-12-19,283021.46,260,High Risk
551,246,2023-10-05,120005,2028-01-03,2027-10-05,51265.84,120,high risk 
855,247,2023-06-08,330749,2027-06-08,2027-06-08,120014.02,0,Unknown
28,248,2023-09-08,590218,2025-09-08,2025-09-08,511526.16,6,Unknown
237,249,2023-10-23,2875050,2025-10-23,2025-10-23,1735550.77,0,Standard
1775,250,2023-12-29,483428,2029-03-29,2028-12-29,158555.32,0,Unknown
1792,251,2019-06-04,59897,2024-06-04,2024-06-04,57219.08,0,Standard
348,252,2023-11-06,687335,2026-11-06,2026-11-06,216533.56,0,Prime
703,253,2023-03-17,494530,2027-03-17,2027-03-17,288605.54,179,High Risk
941,254,2022-04-25,14198026,2024-04-25,2024-04-25,13551736.23,0,Standard
288,255,2020-02-12,338466,2021-08-12,2021-08-12,181026.19,0,Standard
1204,256,2020-10-20,10619718,2024-10-20,2024-10-20,4703965.89,0,Prime
348,257,2020-01-29,526954,2021-10-27,2021-07-29,261598.06,110,High Risk
324,258,2023-11-20,212987,2025-05-20,2025-05-20,196956.89,0,Standard
1706,259,2021-10-18,663145,2026-10-18,2026-10-18,366234.08,222,High Risk
862,260,2022-11-12,75559,2026-02-10,2025-11-12,69957.05,0,Standard
1137,261,2020-05-24,156815,2025-08-22,2025-05-24,150959.38,247,High Risk
178,262,2020-12-06,588734,2024-03-05,2023-12-06,582853.67,343,High Risk
488,263,2019-01-18,707059,2024-01-18,2024-01-18,562040.32,0, subprime
1598,264,2021-09-16,2865564,2026-09-16,2026-09-16,2540575.09,0,STANDARD
1836,265,2022-06-29,875984,2027-06-29,2027-06-29,781308.61,74,Subprime
1639,266,2019-12-22,896186,2021-06-22,2021-06-22,544041.83,0,Standard
1988,267,2019-12-01,10508119,2023-12-01,2023-12-01,6133509.34,176,High Risk
216,268,2019-06-10,861031,2022-06-10,2022-06-10,604297.61,0,Unknown
159,269,2020-11-22,344887,2022-05-22,2022-05-22,189882.81,90,Subprime
32,270,2020-08-22,165867,2024-08-22,2024-08-22,76306.26,0,Prime
458,271,2023-11-13,670139,2029-02-11,2028-11-13,637658.11,0,STANDARD
371,272,2020-03-23,8364800,2021-03-23,2021-03-23,3350830.63,316,High Risk
1391,273,2019-03-28,199884,2024-03-28,2024-03-28,160396.48,154,High Risk
39,274,2023-10-20,11966489,2026-10-20,2026-10-20,7682162.59,7,prime
834,275,2020-01-18,62504,2022-01-18,2022-01-18,18127.45,0,Prime
1390,276,2022-10-04,368165,2024-04-04,2024-04-04,160694.2,0,Prime
966,277,2020-03-13,2576643,2022-06-11,2022-03-13,1701082.41,0,Standard
1442,278,2020-12-01,2947360,2022-08-30,2022-06-01,2818499.05,0,Standard
1710,279,2023-08-22,357660,2025-02-22,2025-02-22,166704.14,0,Prime
1501,280,2021-08-25,83870,2023-08-25,2023-08-25,49518.47,243,Unknown
1828,281,2023-08-09,4512572,2025-02-09,2025-02-09,2123018.46,0,Prime
1212,282,2021-07-15,3005706,2024-07-15,2024-07-15,920606.42,164,High Risk
1817,283,2019-05-10,326411,2021-05-10,2021-05-10,100035.62,0,Prime
322,284,2021-05-15,2382422,2026-08-13,2026-05-15,1159894.15,0,Prime
1780,285,2019-03-14,983022,2024-03-14,2024-03-14,278674.53,0,prime
1813,286,2021-09-30,25550,2026-09-30,2026-09-30,19569.24,171,High Risk
1195,287,2022-09-18,900284,2025-09-18,2025-09-18,792042.05,0,Standard
1380,288,2019-05-20,481545,2024-05-20,2024-05-20,388849.52,0,Standard
341,289,2019-09-19,2821005,2021-03-19,2021-03-19,966245.71,0,Prime
1708,290,2020-03-31,833637,2021-06-29,2021-03-31,227215.61,0,Prime
1347,291,2021-02-20,13011383,2026-02-20,2026-02-20,6208017.63,0,prime
1935,292,2023-10-19,867872,2027-10-19,2027-10-19,278784.15,0,Prime
26,293,2020-07-17,943283,2025-07-17,2025-07-17,298322,0,Prime
495,294,2021-10-08,281154,2023-07-07,2023-04-08,221545.76,128,High Risk
1103,295,2023-09-29,1437051,2027-09-29,2027-09-29,475152.97,0,Prime
303,296,2022-12-27,103075,2027-12-27,2027-12-27,64870.85,0,Standard
641,297,2020-10-18,10799641,2025-10-18,2025-10-18,4223233.11,0,N/A
1800,298,2021-06-26,15081526,2023-06-26,2023-06-26,4942026.51,0,Prime
1679,299,2019-07-21,191633,2021-01-21,2021-01-21,42133.25,0,Prime
369,300,2019-01-01,92598,2023-01-01,2023-01-01,83819.38,0,N/A
506,301,2019-12-13,812015,2020-12-13,2020-12-13,471685.35,0,Standard
1525,302,2021-04-24,14464305,2023-07-23,2023-04-24,13554565.91,263,High Risk
972,303,2023-09-14,7780685,2026-09-14,2026-09-14,3375314.79,113,High Risk
53,304,2022-03-05,7616973,2025-03-05,2025-03-05,4462643.69,249, subprime
860,305,2022-03-11,13470922,2026-06-09,2026-03-11,11378809.64,0,Standard
1161,306,2020-05-21,506720,2022-08-19,2022-05-21,353398.3,0,Standard
200,307,2023-06-07,2342498,2025-06-07,2025-06-07,2157567.75,0,Standard
667,308,2020-04-22,253870,2021-10-22,2021-10-22,145157.21,0,Standard
1706,309,2022-07-02,878213,2026-07-02,2026-07-02,182402.22,0, subprime
125,310,2021-03-15,8213025,2022-09-15,2022-09-15,6561395.39,0,prime
406,311,2023-01-20,118464,2024-10-18,2024-07-20,100077.53,0,Standard
303,312,2023-06-12,71544,2025-06-12,2025-06-12,38312.41,0,N/A
1352,313,2019-07-20,18392491,2024-07-20,2024-07-20,8299678.51,0,Prime
1134,314,2020-01-01,5379106,2024-01-01,2024-01-01,1323908.57,0,Unknown
457,315,2021-05-18,10400471,2023-05-18,2023-05-18,8581102.92,315,High Risk
373,316,2022-12-06,444702,2025-03-06,2024-12-06,343407.6,305,High Risk
258,317,2021-03-16,352990,2026-03-16,2026-03-16,203137.18,0,N/A
1119,318,2022-02-12,58046,2027-05-13,2027-02-12,18137.03,0,Prime
1686,319,2023-08-27,6193682,2028-08-27,2028-08-27,5207481.32,0,prime
895,320,2021-03-17,507034,2022-06-15,2022-03-17,157677.64,0,Prime
1732,321,2020-03-08,725707,2023-03-08,2023-03-08,343899.97,260,High Risk
1960,322,2019-03-22,551621,2024-03-22,2024-03-22,128910.83,0,STANDARD
1503,323,2022-04-29,1650775,2027-04-29,2027-04-29,1045273.7,0,Standard
1307,324,2019-10-31,18476296,2024-10-31,2024-10-31,10299968.48,0, subprime
1214,325,2021-09-19,7648712,2026-09-19,2026-09-19,5749118.91,0,Standard
179,326,2019-07-04,669452,2023-07-04,2023-07-04,409978.39,0,Standard
1254,327,2021-08-29,3742793,2023-08-29,2023-08-29,2640340.69,112,High Risk
1468,328,2022-10-13,119057,2026-10-13,2026-10-13,32812.81,105,High Risk
1730,329,2022-04-16,147685,2024-04-16,2024-04-16,120465.7,14,Standard
1075,330,2021-09-02,362623,2023-03-02,2023-03-02,357079.67,0,Standard
878,331,2019-10-21,103783,2021-04-21,2021-04-21,97935.15,168,High Risk
883,332,2022-06-09,244959,2023-12-09,2023-12-09,90311.02,0,Prime
1245,333,2021-07-02,7337665,2022-09-30,2022-07-02,2936865.97,90,Subprime
69,334,2019-10-26,9323260,2021-10-26,2021-10-26,9248605.03,98,prime
1980,335,2020-02-28,56706,2022-05-29,2022-02-28,14614.4,302,High Risk
726,336,2020-07-13,131392,2023-07-13,2023-07-13,108786.03,0,Standard
184,337,2019-10-29,695919,2020-10-29,2020-10-29,220779.3,0,Prime
725,338,2019-01-06,10827179,2021-01-06,2021-01-06,2759802,0,Prime
1677,339,2023-01-20,198843,2027-01-20,2027-01-20,77611.24,0,high risk 
1657,340,2020-08-12,131667,2022-02-12,2022-02-12,51938.68,0,Prime
42,341,2021-06-13,74477,2022-06-13,2022-06-13,31505.11,0,Prime
1905,342,2020-04-17,407374,2024-07-16,2024-04-17,284251.19,259, subprime
537,343,2020-04-05,1005337,2024-04-05,2024-04-05,470556.22,0,N/A
