client_uuid,company_size,industry,subindustry,company_type,country,state,city,zip_code
28,Unknown,manufacturing,,Partnership,Philippines,metro manila,Kalibo,6100
29,med,Import/Export,Electronics,coop,Philippines,iloilo ,manila,5800
30,lg,Financial Services,Microfinance, LLC,Philippines,Cebu,Talisay,6045
31,MEDIUM,manufacturing,Logistics,Sole Proprietorship,,metro manila,QUEZON CITY,7000
32,Micro,Technology,grocery ,Partnership,N/A,Metro Manila, cebu city,1630
33,small,Construction,Infrastructure,LLC,Philippines,Unknown,Pagadian,7000
34,Micro,Transportation,Car Rental,sole prop,PHILIPPINES,Davao,Unknown,8100
35,Small,Manufacturing,Electronics,Partnership,ph,Metro Manila,Las Piñas,1000
36,Large,Manufacturing,Furniture,Partnership,Philippines,CEBU,Mandaue,6015
37,Micro,Other,Tutorial,LLC,Philippines,Zamboanga,manila,7000
38, Small,manufacturing,Electronics Store,Inc.,,Metro Manila,Las Piñas,1550
39,large ,Food & Beverage,Bakery,corporation,PH,Cebu,Toledo,6014
40,Unknown,Other,Commercial, LLC,Philippines,,QUEZON CITY,6038
41,small,manufacturing,Car Rental,LLC,Philippines,Zamboanga,Pagadian,7000
42,Micro,Technology,Digital Marketing,Corporation,Philippines,iloilo ,Bacolod,5000
43,lg,Education,Tutorial,Corporation,Philippines,Metro Manila,Mandaluyong,1770
44,Micro,Technology,Software Development,,Philippines,Davao,N/A,8119
45,lg,food&beverage,Agricultural Supply,Corporation,Philippines, Davao,Zamboanga City,7000
46,Medium,Agriculture,N/A,Corporation, Philippines,Iloilo,Kalibo,5600
47,small,Financial Services,other,Corporation,Philippines,Iloilo,Kalibo,5600
48,Medium,Manufacturing,Automotive Parts,Sole Proprietorship,Philippines,Metro Manila,Caloocan,1400
49,Micro,Tourism & Hospitality,misc,coop,Philippines,metro manila,Tagum,8119
50,Small,Food & Beverage,Catering,Corporation,Philippines,Davao,Tagum,8119
51,Large,construction ,Vocational,LLC,Philippines,CEBU,Davao City,8105
52,Large, Technology,Property Management,corporation,Philippines,iloilo ,Tagum,8100
53,Large,Food & Beverage,Catering,Cooperative,Philippines,Davao,Davao City,8119
54,MEDIUM,Import/Export,,Partnership, Philippines,iloilo ,Zamboanga City,7100
55,Small,Financial Services,Investment,Corporation,Philippines,metro manila,Talisay,6015
56,MEDIUM,Construction,Renovation,Partnership,Philippines,Davao,Panabo,8000
57,,Agriculture,electronics,PARTNERSHIP,Philippines,Davao,Davao City,8105
58,Medium,Manufacturing,Electronics,Partnership,ph,N/A,Mandaluyong,1000
59,Small,RETAIL TRADE,Hardware,Cooperative,Philippines,,davao ,6045
60,Small,manufacturing,Clothing,Cooperative,Philippines,Unknown,Davao City,8105
61,Small,Telecommunications,Network Equipment,Partnership,Philippines, Davao,Pagadian,7100
62,Large,Real Estate,TEXTILES,,Philippines,Metro Manila,Pasig,1630
63,Large,food&beverage,Resort,LLC,Philippines,Metro Manila,manila,1100
64, Small,Import/Export,TEXTILES,Partnership,ph,Iloilo,Unknown,5600
65,Medium,Import/Export,Electronics,corporation,Philippines,Davao,Samal,8105
66,Large,Construction,Infrastructure, LLC,Philippines,Davao,Unknown,8000
67,Large,Tourism & Hospitality,electronics,LLC, Philippines,iloilo ,Davao City,8000
68,Micro,construction ,Internet Provider,Corporation,N/A,Iloilo,Roxas,5600
69,Large,Real Estate,Property Management, LLC,Philippines,Zamboanga,manila,7100
70,Large,Food & Beverage, software,Corporation,,Metro Manila,davao ,1770
71,Micro,Tourism & Hospitality,Event Planning,Cooperative,philippines,Unknown,Unknown,8002
72,Large, Technology,Residential,Sole Proprietorship,Philippines,Iloilo,Kalibo,5000
73,Unknown,Real Estate,other,PARTNERSHIP,Philippines,metro manila,Caloocan,1770
74,Small,food&beverage,Livestock,Sole Proprietorship,Philippines,Cebu,Talisay,6038
75,Large,Real Estate,electronics,PARTNERSHIP,PHILIPPINES,Cebu,Toledo,6038
76,Micro,Transportation,N/A,Partnership,Philippines,Davao,Samal,8119
77,large ,Education,N/A,coop,Philippines,Metro Manila,davao ,1400
78,med,Telecommunications,Mobile Services,Partnership,Philippines,Metro Manila,Pasig,1740
79,med,Healthcare,Clinic,Corporation,Philippines,Metro Manila,Taguig,1770
80,Small, Technology,TEXTILES,PARTNERSHIP,Philippines,Cebu,Toledo,6014
81,N/A,manufacturing,misc,Cooperative,Philippines,N/A,Mandaue,6014
82,Micro,Tourism & Hospitality,misc,coop,Philippines,Iloilo,,5800
83,med,Telecommunications,Network Equipment,Partnership,Philippines,Cebu,Toledo,6038
84,Medium,Telecommunications,Internet Provider,PARTNERSHIP,PH,Iloilo,Roxas,5800
85,Micro,Import/Export,TEXTILES,coop,Philippines,Iloilo,Iloilo City,5000
86,med,Healthcare,Laboratory,Sole Proprietorship,Philippines,iloilo ,Quezon City,1000
87,N/A,Construction,Infrastructure,Cooperative,N/A,Davao,N/A,8119
88,Unknown,Telecommunications,Internet Provider,Sole Proprietorship,PHILIPPINES,CEBU,Cebu City,6015
89,small,Education,Training Center,LLC,Pilipinas,iloilo , cebu city,1630
90,Medium,Agriculture,Rice Farming,Sole Proprietorship,Philippines,Metro Manila,Pasig,1000
91,small,Other,Call Center,Inc., Philippines,Zamboanga,Zamboanga City,7016
92,MEDIUM,Retail Trade,Grocery,Sole Proprietorship,Philippines, Davao,Caloocan,1600
93,Large,Food & Beverage,Restaurant,coop,Philippines,Zamboanga,Zamboanga City,7000
94,Small,Financial Services,Insurance,Cooperative,Philippines,Davao,Samal,8100
95,Medium,Food & Beverage,electronics,Sole Proprietorship,Philippines,Zamboanga,N/A,7000
96,N/A,N/A,Dental,Inc.,philippines,Cebu,Cebu City,6000
97,Medium,Financial Services,Investment,PARTNERSHIP,Philippines,N/A,Iloilo City,6100
98,Medium,Financial Services,Insurance,Sole Proprietorship,Philippines,Cebu,N/A,6038
99,N/A,Tourism & Hospitality,Event Planning,corporation,PHILIPPINES,Davao,Tagum,8119
100,Small,Manufacturing,Electronics,Partnership,Philippines,Zamboanga,Pagadian,7016
101,MEDIUM,Manufacturing, software,Sole Proprietorship,Philippines,Davao,Tagum,8002
102,Large,construction ,Commercial,LLC,Pilipinas,Davao,Digos,8119
103, Small,Food & Beverage,Catering,PARTNERSHIP,Philippines,N/A,Panabo,8119
104,Medium,Construction,Infrastructure, LLC,Philippines,,Zamboanga City,7000
105,Small,food&beverage,other,Sole Proprietorship,Philippines,Iloilo,,5800
106,N/A,construction ,N/A,Partnership,Philippines,Iloilo, cebu city,5600
107,Micro,Healthcare,Medical Equipment,Corporation,PH,,N/A,1200
108,Large,Agriculture,other,N/A,Philippines,,davao ,6045
109,Medium,RETAIL TRADE,Digital Marketing,Cooperative,philippines,Davao,Samal,8105
110,Small,Construction,grocery ,Cooperative,PHILIPPINES,Metro Manila,Caloocan,1100
111,Small,Transportation,Logistics,coop,Philippines,Iloilo,Iloilo City,5800
112,Micro,Construction, software,Partnership, Philippines,Cebu, cebu city,6045
113,Small,food&beverage,Network Equipment,Corporation,Philippines,iloilo ,N/A,8105
114,Medium,RETAIL TRADE,Bakery,N/A,Philippines,Iloilo,Roxas,5000
115,Medium,Financial Services,Insurance,LLC,Philippines,Metro Manila,Taguig,1550
116, Small,Food & Beverage,Food Truck,Sole Proprietorship,Philippines,Cebu,manila,6015
117,lg,Education,Training Center,sole prop,Philippines,Zamboanga,Dipolog,7100
118,Unknown,food&beverage,Tutorial,Cooperative,PH,Metro Manila,Pasay,1400
119,,construction ,Medical Equipment,Partnership,Philippines,Zamboanga,Zamboanga City,7016
120,Small,Import/Export,Food Products,Corporation,Philippines,Cebu,Unknown,6000
121,Small,Food & Beverage,Restaurant,sole prop,Philippines,Cebu,Cebu City,6038
122,Medium,Retail Trade,grocery ,sole prop,Philippines,Iloilo,Bacolod,6100
123,Unknown,Tourism & Hospitality,grocery ,sole prop,Philippines,Metro Manila,Pasay,1400
124, Small,Transportation,Logistics,Cooperative,Philippines,Metro Manila, cebu city,1300
125,Large,,E-commerce,coop,Philippines,N/A,QUEZON CITY,1100
126,Large,Other,other,Sole Proprietorship,Philippines,Zamboanga,Dipolog,7016
127,Small,Other,Investment,Cooperative,Philippines,,Kalibo,5000
128,Large,food&beverage,Online Education,Sole Proprietorship, Philippines,iloilo ,Caloocan,1740
129,Micro,Agriculture,electronics,corporation,Pilipinas,Iloilo,Unknown,6100
130,Small,construction ,N/A,Cooperative,Philippines,Iloilo,Bacolod,6100
131,MEDIUM,Tourism & Hospitality,Restaurant,Partnership,Philippines,Zamboanga,N/A,7016
132,Micro,Agriculture,misc,LLC,ph,Cebu,Toledo,6045
133,med, Technology,grocery ,Corporation,Philippines,N/A,manila,1740
134,Large,Import/Export,TEXTILES,PARTNERSHIP,N/A,Unknown,Lapu-Lapu,6015
135,Micro,construction ,Commercial,Cooperative,Philippines,Zamboanga,N/A,7100
136,large ,Agriculture,N/A,corporation,philippines,CEBU,Pagadian,7100
137,,Tourism & Hospitality,other,Sole Proprietorship,Philippines,Zamboanga,Dipolog,7000
138,large ,Construction,Materials Supply,N/A,,Zamboanga,Dipolog,7000
139,Micro,Construction, software,Sole Proprietorship,Philippines,iloilo ,Kalibo,5800
140,Large,Healthcare,Dental,Cooperative,N/A,N/A,manila,1550
141,Medium,Manufacturing,Textiles,LLC,N/A,Iloilo,Roxas,5800
142,Medium,Import/Export,misc,Sole Proprietorship,,Zamboanga,Dipolog,7000
143,,Healthcare,Medical Equipment,Corporation,Philippines,metro manila,manila,6100
144,Micro,Transportation,Trucking,LLC,PH,Iloilo,Iloilo City,5600
145,Large,,Residential,coop,Philippines,Zamboanga,Pagadian,7016
146,Micro,Education,Training Center,,Philippines,CEBU,Pasay,1100
147,Medium,food&beverage,Food Truck,Cooperative,Philippines,Cebu,Mandaue,6000
148,Large,Education,Training Center,Cooperative,philippines,Davao, cebu city,8000
149,Micro,Technology,Digital Marketing,Cooperative,Philippines,Zamboanga,Zamboanga City,7000
150,Medium,Food & Beverage,Coffee Shop,LLC,Philippines,Davao,QUEZON CITY,8000
151,med,Financial Services,Money Exchange,LLC,Philippines,Unknown,Cebu City,6015
152,Large,Real Estate,Residential,N/A,Philippines,Iloilo,,5600
153,Small,Technology,Digital Marketing,Sole Proprietorship,N/A,Unknown, cebu city,6045
154,med,Construction,Commercial,Cooperative,N/A,Cebu,Toledo,6014
155,Small,Healthcare,TEXTILES,Inc.,Philippines,Unknown,Davao City,8119
156,MEDIUM,Transportation,,Cooperative,Philippines,Zamboanga,Dipolog,7000
157,Unknown,Financial Services,grocery ,coop,PH,iloilo ,Quezon City,1600
158,Micro,manufacturing,Online Education,Cooperative,Philippines,Metro Manila,N/A,1550
159,med,Manufacturing,,Sole Proprietorship,Philippines,iloilo ,Roxas,5000
160,,Technology,IT Services, LLC,Philippines,Metro Manila,Unknown,1200
161,med,Healthcare,Medical Equipment,Sole Proprietorship,Philippines,Iloilo,Bacolod,5600
162,Small,Tourism & Hospitality,Restaurant,Corporation,Philippines,Iloilo,Iloilo City,5800
163,med,Education,Vocational,N/A,Philippines,Davao,Digos,8105
164,Large,Transportation,Delivery Services,sole prop,ph,Davao,manila,8002
165,Small,N/A,Logistics,Cooperative,Philippines,iloilo ,N/A,5600
166,Medium,Import/Export,Food Products,N/A,Philippines,Unknown,Dipolog,7000
167,Medium,Healthcare,Laboratory,PARTNERSHIP,Philippines, Davao,QUEZON CITY,1740
168,Large,Telecommunications,Network Equipment,Partnership,Philippines,,Davao City,8105
169,Micro,manufacturing,misc,LLC,Philippines,Iloilo,Roxas,5800
170, Small,construction ,Renovation,sole prop,Philippines, Davao,Makati,1770
171,Small,Import/Export,Consumer Goods,Partnership,Philippines,Cebu,Cebu City,6000
172,small,N/A,Rice Farming,Inc.,Philippines,Zamboanga,Zamboanga City,7100
173,Micro,Financial Services,Investment,sole prop,Philippines,Davao,N/A,8105
174,Medium, Technology,Agricultural Supply,Partnership,philippines,Iloilo,davao ,6100
175,small,Technology,IT Services,Partnership,Philippines,Metro Manila,Quezon City,1550
176,Micro,Other,,Sole Proprietorship,Philippines,Cebu,Talisay,6045
177,Small,construction ,Training Center,sole prop,Philippines,Davao,Tagum,8002
178, Small,construction ,Trucking,LLC,Philippines,iloilo ,Samal,8100
179,Small,Retail Trade,Grocery,coop,Philippines,iloilo ,Roxas,5800
180,Large,RETAIL TRADE,Software Development,Sole Proprietorship,Philippines,Davao,Unknown,8002
181,large ,RETAIL TRADE,grocery ,Partnership,Philippines,Davao,Tagum,8105
182,Medium,Food & Beverage,Coffee Shop,coop,Philippines,Cebu,Talisay,6000
183,Large,Education, software,Cooperative,Philippines,Iloilo,Roxas,5000
184,Small,RETAIL TRADE,Food Processing,PARTNERSHIP,Philippines,Davao,Panabo,8119
185,small,Transportation,Car Rental,LLC,Philippines,,Roxas,5600
186,lg,Real Estate,Real Estate Brokerage,LLC,Philippines,Davao,Samal,8100
187,Micro,RETAIL TRADE,Dental,PARTNERSHIP,PHILIPPINES,Metro Manila,Makati,1630
188,Small,Manufacturing,Furniture,Sole Proprietorship,N/A, Davao,Lapu-Lapu,6000
189,MEDIUM,Food & Beverage,electronics,Cooperative,Philippines, Davao,Unknown,1550
190,Large,Real Estate,Property Management,Corporation,Philippines,,Zamboanga City,7016
191,Large,Technology,E-commerce,Sole Proprietorship,ph,,Samal,8105
192,Medium,Technology,E-commerce,LLC,ph,iloilo ,Pasig,1000
193,med,Retail Trade,misc,Partnership,Philippines,Cebu,Mandaue,6000
194,Micro,Import/Export,Automotive,Corporation,Philippines,Iloilo,Iloilo City,5800
195,lg,Healthcare,Dental,LLC,Philippines,Zamboanga,davao ,7016
196,Medium,Education,grocery ,Sole Proprietorship, Philippines,Davao,Davao City,8105
197,Micro,construction ,Renovation,Corporation,Philippines,Davao,Tagum,8119
198,Micro, Technology,grocery ,Partnership,Philippines,Iloilo,Bacolod,5000
199,Small,Food & Beverage,Coffee Shop,Cooperative,PH,Cebu,QUEZON CITY,6000
200,Medium, Technology,,Partnership,PH,Zamboanga,Dipolog,7100
201,Small,Telecommunications,Call Center,LLC,Philippines,N/A,Pasay,1770
202,Micro,Construction,Residential,Partnership,Philippines,Unknown,Panabo,8002
203,, Technology,Mobile Services,Cooperative,Philippines,N/A,Caloocan,1770
204,Small,N/A,Delivery Services,sole prop,Philippines,Davao,Davao City,8100
205,Unknown,RETAIL TRADE,Laboratory,coop,philippines,Davao,Tagum,8002
206,Medium,Agriculture,electronics,sole prop,philippines,Davao,Digos,8105
207,Micro,Education,Tutorial,Corporation,Philippines,metro manila,Roxas,6100
208,Medium,construction ,Rice Farming,Sole Proprietorship,Philippines,CEBU,N/A,5800
209,,Tourism & Hospitality,Travel Agency,Inc.,Philippines,CEBU,davao ,6014
210,Micro,Healthcare,Physical Therapy,LLC,Philippines,Zamboanga,Zamboanga City,7016
211,Micro,N/A,Cable TV,Corporation,Philippines,Cebu,N/A,6038
212,lg,Telecommunications,Mobile Services,Partnership,PHILIPPINES,Metro Manila,davao ,1740
213,Large,,Vocational,PARTNERSHIP,,Zamboanga,Pagadian,7000
214,Medium,RETAIL TRADE,Dental,sole prop,Philippines,N/A,Tagum,8100
215,small,manufacturing,Development,N/A,Philippines,Iloilo,Bacolod,5000
216,Small,Healthcare,Physical Therapy,Corporation,Philippines,Zamboanga,Pagadian,7000
217,Large,Import/Export,N/A,Corporation,Philippines,Iloilo,,6100
218,Small,N/A,Real Estate Brokerage,LLC,PHILIPPINES, Davao,Zamboanga City,7000
219,Large,Financial Services,other,Inc.,Philippines,Zamboanga,Dipolog,7016
220,Small,Construction,Infrastructure,LLC,N/A,Zamboanga,,7016
221,med,Technology,Web Design,Partnership,Philippines,Cebu,Talisay,6014
222,Small,Financial Services,Insurance,sole prop,Philippines,Cebu,Cebu City,6000
223,Small,,Dental,Sole Proprietorship,Philippines,CEBU,Cebu City,6000
224,Large,Telecommunications,other, LLC,Philippines,Cebu,Cebu City,6045
225,Large,N/A,Trucking,N/A,Philippines,Metro Manila,Unknown,1630
226,Small,Food & Beverage,grocery ,Partnership,Philippines,Cebu,manila,6038
227,Small,Healthcare,Dental,N/A,Philippines,Zamboanga,manila,7016
228,Unknown,food&beverage, software,Sole Proprietorship,Philippines, Davao,Manila,1600
229,lg,manufacturing,Training Center, LLC,N/A,Davao,Samal,8002
230,Medium,Financial Services,Remittance,Partnership,PH,Davao,Panabo,8002
231,Medium,Construction,N/A,Corporation,Philippines, Davao,Caloocan,1300
232,Large,Import/Export,Automotive,LLC,Philippines, Davao,manila,6100
233,Micro,Healthcare,N/A,Corporation,Philippines,Davao,N/A,8119
234,MEDIUM,Agriculture,Organic Farming,LLC,PHILIPPINES,metro manila,Lapu-Lapu,6045
235,Micro,Healthcare,Dental,Partnership,Pilipinas,CEBU,Lapu-Lapu,6014
236,MEDIUM,manufacturing,Clothing,Corporation,Philippines,Zamboanga,Dipolog,7016
237,Medium,food&beverage,Textiles,N/A,Philippines,Davao,Tagum,8000
238,Unknown,N/A,IT Services, LLC,PHILIPPINES,Zamboanga,Dipolog,7100
239,Micro, Technology,Training Center,Sole Proprietorship,Philippines,CEBU,Iloilo City,5600
240,Large,,Electronics,Corporation,Philippines,Zamboanga,Zamboanga City,7016
241,Micro,Construction,other, LLC,Philippines,Cebu,Talisay,6038
242,Medium,Financial Services,other,Cooperative,N/A,Metro Manila,Taguig,1630
243,Medium,Food & Beverage,Bakery,Partnership,Philippines,, cebu city,7000
244,Micro,manufacturing,other,Partnership,Philippines,Iloilo,Bacolod,5600
245,N/A,Tourism & Hospitality,Hotel,Cooperative,N/A,Zamboanga,Pagadian,7000
246,Micro,Financial Services,misc,Sole Proprietorship,Pilipinas,Davao,Samal,8105
247,Small,Food & Beverage,Bakery,Cooperative,Philippines, Davao,Pasig,1740
248,Large,manufacturing,Development,Partnership,Philippines,Zamboanga,Zamboanga City,7100
249,med,Manufacturing,Electronics,,Philippines,Iloilo,manila,6100
250,Micro,Healthcare,Laboratory, LLC,Philippines,Davao,Unknown,8100
251,Large,Import/Export,Electronics,Partnership,Philippines, Davao,Mandaluyong,1400
252,Medium,RETAIL TRADE,other,Partnership,Philippines,Metro Manila,Pasay,1100
253,Medium,Education,Vocational,Partnership,Philippines, Davao,Tagum,8100
254,med,Food & Beverage,Food Truck,,Philippines,Iloilo,davao ,6100
255,Small,Food & Beverage,Bakery,N/A,Philippines,Davao,Panabo,8105
256,large ,Education,Online Education,Inc.,Philippines,,QUEZON CITY,5800
257,Micro,N/A, software,Partnership, Philippines,Iloilo,Kalibo,5600
258,Small,Food & Beverage,Coffee Shop, LLC,PH,CEBU,Unknown,5800
259,Medium,Technology,IT Services,Partnership,Philippines,Cebu,Talisay,6000
260,Small,Financial Services,Insurance,Cooperative,Philippines,Cebu,Talisay,6000
261,Medium,Real Estate, software,,PHILIPPINES,Unknown,Lapu-Lapu,6015
262,Medium,Real Estate,Property Management,Cooperative,Pilipinas,Unknown,Pagadian,7016
263,Small,construction ,N/A,Partnership,Philippines,N/A,manila,6000
264,Small,Import/Export,Electronics,Partnership,Philippines,Davao,Digos,8119
265,Large,food&beverage,Grocery,Cooperative,Philippines,Zamboanga,Pagadian,7000
266,Small,Food & Beverage,Bakery,Cooperative,ph,metro manila,Zamboanga City,7100
267,Small,Import/Export,Industrial Equipment,corporation,Philippines,Zamboanga,Pagadian,7000
268,large ,food&beverage,Public Transport,Corporation,Philippines,Davao,Davao City,8002
269,Small,Transportation,electronics,LLC,Philippines,metro manila,Zamboanga City,7000
270,Small,Construction,Infrastructure, LLC,Philippines,Iloilo,Kalibo,5000
271,med,Technology,E-commerce,Partnership,PH,iloilo ,Kalibo,5000
272,Medium,Tourism & Hospitality,other,Cooperative,Philippines,metro manila,Quezon City,1740
273,Medium,Telecommunications,Mobile Services,Corporation,N/A,Davao,N/A,8002
274,Large,Retail Trade,Electronics Store,Cooperative,Philippines,iloilo ,Pagadian,7100
275,Large,food&beverage,,Partnership,Philippines,CEBU,,1770
276, Small,construction ,Dental,Cooperative,Philippines,Iloilo,Roxas,6100
277,Small,Technology, software,coop,Philippines,Davao,,8105
278,Medium,Import/Export,other,Sole Proprietorship,Pilipinas, Davao,Dipolog,7000
279,,Healthcare,Laboratory,LLC,N/A,Iloilo,Kalibo,5800
280,Medium,Technology,misc,PARTNERSHIP,Philippines,Metro Manila,Manila,1550
281,Small,Financial Services,Investment,Cooperative, Philippines,Zamboanga,Pagadian,7000
282,N/A, Technology,Residential,LLC,Philippines,Davao,Digos,8119
283,Small,Transportation,Public Transport,Sole Proprietorship,philippines,Zamboanga,Zamboanga City,7000
284,Micro,,Catering,Partnership,Philippines,Iloilo,Iloilo City,5600
285,large ,Healthcare,TEXTILES,LLC,Philippines,Cebu,Mandaue,6038
286,Large,RETAIL TRADE,Investment,Cooperative,Philippines,Unknown,Makati,1100
287,Small,Retail Trade,misc,Partnership,N/A,Unknown,Zamboanga City,7000
288,small,Agriculture, software,Cooperative,Philippines,iloilo ,Zamboanga City,7000
289,Micro,Healthcare,other,Cooperative,Philippines,Cebu,,6014
290,lg,Real Estate,Property Management,sole prop,Philippines,Iloilo,manila,5600
291,small,Real Estate,Property Management,Corporation,Philippines,Metro Manila,Pasig,1100
292,Small,RETAIL TRADE,Delivery Services,Corporation,Philippines,metro manila,Zamboanga City,7100
293,Large,Financial Services,Microfinance,Cooperative,Philippines,Davao,Tagum,8002
294,Small,Transportation,electronics,corporation,philippines,Metro Manila,Manila,1630
295,Micro,Transportation,Trucking,LLC,Philippines,Zamboanga,Dipolog,7000
296,Large,Technology,N/A,Cooperative,,N/A,davao ,1740
297,Unknown, Technology,Livestock,N/A,PHILIPPINES,Zamboanga, cebu city,7016
298,Large,RETAIL TRADE,electronics,,philippines,Zamboanga,Zamboanga City,7000
299,Medium,N/A,Laboratory,Corporation,N/A,iloilo ,Tagum,8119
300, Small,Transportation,Delivery Services,Corporation,Philippines,Cebu,Talisay,6015
301,small,RETAIL TRADE,grocery ,Sole Proprietorship,Pilipinas,Iloilo,Bacolod,6100
302,Medium,Telecommunications,,Cooperative,Philippines,Zamboanga,N/A,7000
303,Micro,manufacturing, software,Cooperative,Philippines, Davao,Unknown,5600
304,MEDIUM,Transportation,Delivery Services,Corporation,ph,Cebu,Mandaue,6014
305,MEDIUM,Financial Services,Microfinance,Inc.,Philippines,Cebu,Lapu-Lapu,6015
306,Micro,Education,Online Education,Sole Proprietorship,Philippines,Zamboanga,Pagadian,7016
307,Small,Import/Export,electronics,LLC,Philippines,Iloilo,Kalibo,6100
308,Small,Other,Automotive,Corporation,Philippines,,Pagadian,7100
309,Medium,Telecommunications,Mobile Services,Partnership,PH,metro manila,QUEZON CITY,8119
310,,Import/Export,other,Cooperative,Philippines,Cebu,Unknown,6038
311,Medium,,misc,Partnership,Philippines,CEBU,Panabo,8105
312,Unknown,,Tutorial,LLC,,CEBU,Cebu City,6000
313,N/A,manufacturing,Trucking,Sole Proprietorship,Philippines,Cebu,Cebu City,6014
314,Medium,N/A,Organic Farming,coop,Philippines,Cebu,Toledo,6045
315,med, Technology,Hardware,Partnership,Philippines,iloilo ,Bacolod,6100
316,Medium,Retail Trade,Electronics Store,Inc.,Philippines,Metro Manila,Pasig,1400
317,Large,Retail Trade,Pharmacy,Sole Proprietorship,N/A,Iloilo,Iloilo City,5800
318,Small,Transportation,grocery , LLC,Philippines,metro manila,QUEZON CITY,8100
319,Large,Financial Services,Microfinance,Partnership,Philippines,metro manila,Mandaue,6015
320,large ,Tourism & Hospitality,Event Planning,Partnership,Philippines,Cebu,davao ,6000
321,lg,Import/Export,Consumer Goods,Sole Proprietorship,Philippines,Davao,,8119
322,Medium,Import/Export,Consumer Goods,Corporation,PHILIPPINES,N/A,Tagum,8100
323,Micro,Financial Services,Money Exchange,Partnership,Philippines,Iloilo,davao ,6100
324, Small,Tourism & Hospitality,Restaurant,Cooperative,Pilipinas,Metro Manila,N/A,1300
325,Micro,Tourism & Hospitality,TEXTILES,LLC,,Iloilo,davao ,5000
326,Micro,Import/Export,Industrial Equipment,N/A,Philippines,CEBU,Iloilo City,5600
327,Micro,Telecommunications,Network Equipment,Corporation,ph,Cebu,Lapu-Lapu,6015
328,small,Food & Beverage,Bakery,Cooperative,Philippines,metro manila,Davao City,8119
329,Micro,Real Estate,Real Estate Brokerage,Corporation,Philippines,Cebu,Mandaue,6045
330,large ,manufacturing,electronics,N/A,Pilipinas,Iloilo,Bacolod,6100
331,Small, Technology,Automotive,LLC,philippines,Metro Manila,Manila,1200
332,Large,Manufacturing,Food Processing,Sole Proprietorship,,Iloilo,Iloilo City,5000
333,Large,Construction,TEXTILES,Partnership,Philippines,Iloilo,Roxas,5800
334,Small,Education,Private School,sole prop,N/A,Metro Manila,Taguig,1100
335,Small,Technology,TEXTILES,Sole Proprietorship, Philippines,metro manila,Mandaue,6038
336,MEDIUM,Healthcare,grocery ,Sole Proprietorship,Philippines,Cebu,Toledo,6038
337,Small,N/A,Industrial Equipment,, Philippines,CEBU,Digos,8119
338,Small,Technology, software,Cooperative,Philippines,Cebu,Mandaue,6014
339,Small,RETAIL TRADE,Food Products,LLC,Philippines,metro manila,davao ,6038
340,Large,Other,Resort,Cooperative,Philippines,Cebu, cebu city,6000
341,Medium,Food & Beverage, software,Corporation,Philippines,Unknown,Davao City,8105
342,Medium,Education,,Corporation,Philippines,Cebu,,6000
343,Small,Tourism & Hospitality,TEXTILES,LLC, Philippines,Metro Manila,Pasig,1630
344,small,,,LLC,Philippines,N/A,Dipolog,7016
345,, Technology,Organic Farming,LLC,Philippines,Davao, cebu city,8000
