client_uuid,company_size,industry,subindustry,company_type,segment,country,province,city,annual_revenue,employee_count,year_established
X0TYBI1,Small (10-49),automotive,Vehicle  Maintenance,Cooperative,Segment 4,Philippines,Misamis Occidental,Tangub,7726535,10.0,2013
K1BH2KR,  Small (10-49),Chemicals,  Chemical Processing,Sole  Proprietorship,Segment 1,Philippines,Tawi-Tawi,tandubas,17047446,44.29475409341233,1991
L1GWU7K,Medium (50-249,  Agriculture,FRUIT PRODUCTION,partnership,Segment 1,Philippines,Aklan,Madalag,41722096,77.0,1993
OP0JDS1,Small_(10-49),Media,public relations,Sole  Proprietorship,Segment 3,Philippines,Masbate,Masbate City,11727498,31.0,1997
75OQ6P2,  Small (10-49),Pharmaceutical,Drug  Manufacturing,PARTNERSHIP,Segment 2,philippines,Rizal,ANTIPOLO,13718462,30.0,1984
QBM4210,small (10-49),Professional_Services,Legal  Services,Sole Proprietorship,Segment 1,philippines,La Union,Bauang,12762239,21.0,2002
L5YRO5F,Micro (<10),N/A,Corn  Production,,Segment 2,Philippines,compostela valley,Mabini,2108715,6.0,1984
T73QJ8T,Micro_(<10),N/A,plumbing services,LLC,Segment 1,Philippines,  Albay,Legazpi,5027226,6.0,2013
7GK42M4,MICRO (<10),Professional  Services,Technical_Services,Partnership,Segment 4,Philippines,cebu,Danao,4295599,7.384955154769104,2008
UMYZT6N,Micro (<10,Textiles,Fabric_Printing,Sole Proprietorship,Segment 1,PHILIPPINES,Zamboanga Sibugay,Ipil,4675685,8.0,2004
9LKLGK9,Medium (50-249),MINING,Gold Mining,Cooperative,Segment 3,Philippines,eastern samar,Borongan,174842972,233.0,2010
AK82Q12,Small (10-49),Automotive,Vehicle_Customization,Partnership,Segment 1,Philippines,Davao Oriental,BANAYBANAY,11675506,23.850758112328325,2009
6SI18JA,Micro (<10),Hospitality,catering services,LLC,Segment 2,Philippines,Davao del Norte,Braulio  E.  Dujali,3213827,9.0,2002
Q7MNK15,  Micro (<10),Professional Service,Technical_Services,corporation,Segment 2,Philippines,Zamboanga del Sur,Pagadian,2912103,5.0,1984
F2KP3YK,Small (10-49),Sport,N/A,Cooperativ,Segment 1,Philippines,pampanga,LUBAO,13554248,40.0,2015
CVQ9QNI,MICRO (<10),Energy,Power_Generation,LLC,Segment 5,Philippines,Samar,Gandara,2772221,4.40007952425468,1990
63LOR1W,micro (<10),mining,Sand & Gravel,Cooperative,Segment 3,Philippines,Ilocos  Sur,Vigan,5964614,6.385123788679731,1990
Q9ARIMO,micro (<10),MANUFACTURING,NULL,Corporation,Segment 4,Philippines,Davao_Oriental,Boston,5571016,9.115557006735637,1999
N2AD56Z,small (10-49),Furniture,home furniture,Cooperative,Segment 4,Philippines,Cagayan,Camalaniugan,6864561,11.322514912359129,2003
RGZHF3W,Micro (<10),Finance,Bookkeeping,sole proprietorship,Segment 2,Philippines,Northern Samar,Catubig,7483022,7.0,1982
2DJY4CB,Large (250+),Technology,TECH SUPPORT,Cooperativ,Segment 4,Philippines,Iloilo,  Iloilo City,770478451,788.6567052594947,1980
NYOBXNG,Micro (<10),,Sports Marketing,  Corporation,Segment 1,  Philippines,Zamboanga  Sibugay,Alicia,5119697,7.0,2005
HALEXFY,Small_(10-49),Finance,NULL,Partnership,Segment 1,Philippines,Metro  Manila,Manila,24359279,28.0,2008
4KT9QK3,Small  (10-49),Technology,Cloud Services,LLC,Segment 1,Philippines,zamboanga del sur,Guipos,30110009,36.0,2014
PSQZFIQ,Micro  (<10),  Chemicals,pesticides,Partnership,Segment 1,Philippines,  Eastern Samar,General MacArthur,2226340,4.0,1982
4UZ8XK2,Micro (<10),Pharmaceutical,Pharmaceutical_Distribution,Corporation,Segment 2,Philippines,  Sarangani,Malungon,2571288,6.645168092340217,2001
Z66HTPU,Small_(10-49),SPORTS,sports retail,  Corporation,Segment 1,Philippines,South Cotabato,Santo Niño,17704886,40.0,1991
85G64LK,Medium_(50-249),Logistics,Cold  Chain  Logistics,Corporation,Segment 4,Philippines,Capiz,Mambusao,52747476,68.61083498192153,1993
LQ0YMHE,Micro_(<10),N/A,Vegetable_Farming,Corporation,Segment 2,Philippines,Tarlac,Mayantoc,3751819,6.681197397069938,1988
JPOMM5H,MICRO (<10),sports,Sports Events,Corporatio,Segment 1,Philippines,Davao_Oriental,BAGANGA,782345,1.0,1992
A5V2BKQ,  Medium (50-249),Chemicals,Paint  &  Coatings,COOPERATIVE,Segment 2,Philippines,Basilan,  Sumisip,131143028,186.0,1995
MJBFH9Y,Micro (<10,Healthcare,Home Care Services,Corporation,Segment 1,  Philippines,Compostela Valley,Monkayo,4291161,6.0,2000
ACVQN8M,Large (250+),Sport,Sports Facilities,Corporatio,Segment 4,Philippines,Zamboanga_del_Sur,Zamboanga City,693674776,1931.1601616230103,2015
81ILOU8,Micro_(<10),Entertainment,Film_Production,Corporation,Segment 1,Philippines,Davao del Norte,Tagum,796046,1.0,2003
GZOCPB4,Medium_(50-249),Marine,Marine Consulting,Cooperative,Segment 5,Philippines,Bohol,Balilihan,26607730,73.65480786963705,1983
0BNDM98,Small (10-49),Furnitur,Furniture_Repair,Partnership,Segment 3,Philippines,Compostela Valley,Maragusan,17440051,40.0,2000
UBGPQTW,micro (<10),MANUFACTURING,Metal Fabrication,LLC,Segment 1,Philippines,Zamboanga del Norte,Dipolog,4324243,7.523867111169656,2013
RWUKDY5,Micro  (<10),  Logistics,Inventory Management,Cooperative,Segment 1,Philippines,Samar,Motiong,5252079,9.288806344258969,2017
UXYS2JL,Large  (250+),  Healthcare,General Practice,LLC,Segment 4,Philippines,Palawan,  Busuanga,224343698,371.0,2010
55EDVR8,Micro_(<10),Beauty  &  Wellness,  Health & Beauty,  Cooperative,Segment 3,Philippines,Cagayan,aparri,3852985,6.508314177078965,1982
JT91XEL,N/A,Chemical,Agricultural Chemicals,COOPERATIVE,Segment 3,philippines,Zamboanga del Sur,Dumingag,3777955,7.1999358485925065,2001
PZ64FHG,Medium  (50-249),Telecommunication,Satellite Communications,Sole Proprietorship,Segment 3,Philippines,Zamboanga  del  Norte,  Baliguian,51825408,130.74576879714033,1985
EZN2FGR,Micro (<10),WATER,N/A,LLC,Segment 1,Philippines,Antique,Hamtic,1578274,3.0,2005
MIO8X6P,  Micro (<10),  Mining,NULL,  Cooperative,Segment 2,philippines,Batangas,Nasugbu,6936866,7.877783767373086,2009
2F2QVXQ,Small (10-49,Beauty & Wellnes,health & beauty,Partnership,Segment 1,Philippines,Masbate,  Baleno,22063605,48.0,2000
IGDEEK1,micro (<10),Chemicals,Paint_&_Coatings,Sole Proprietorship,Segment 4,Philippines,Isabela,Cabagan,2398974,3.2288800186051376,1985
A1CR752,Small (10-49),Healthcar,Veterinary Services,cooperative,Segment 3,  Philippines,Iloilo,BAROTAC VIEJO,30116147,31.0,2017
JS1Q1SW,MICRO (<10),Chemicals,agricultural chemicals,Partnership,Segment 1,Philippines,Sorsogon,Sorsogon City,2497054,4.0,2016
HTHIGN1,Micro_(<10),Real Estate,Property Rental,Partnership,Segment 1,Philippines,Cebu,Talisay,2292207,3.0,1994
8485EPQ,micro (<10),security,SURVEILLANCE SYSTEMS,Corporatio,Segment 1,Philippines,northern samar,Catubig,2947866,8.558799667948172,1997
793YB9R,Large_(250+),Finance,Insurance,Corporation,Segment 1,Philippines,cavite,Imus,673255781,1305.7790330022208,2016
IHN6WUL,Small (10-49,Automotiv,Auto Repair,llc,Segment 3,Philippines,Cebu,Toledo,14237037,23.0,1987
P2WX7GD,Micro_(<10),NULL,fertilizers,Sole Proprietorship,Segment 3,Philippines,Zamboanga del Norte,Katipunan,4847344,7.0,1994
5OLO7FQ,  Micro (<10),Logistics,inventory management,  Corporation,Segment 4,philippines,Maguindanao,Shariff Aguak,2948840,5.771811779230882,2017
OQR5WW8,Micro  (<10),NULL,Sports Medicine,Partnershi,Segment 2,Philippines,Bukidnon,Dangcagan,876118,2.0,1988
E2LCA0X,Micro (<10),Water,Water Drilling,NULL,Segment 1,Philippines,compostela valley,Laak,997728,2.0,2009
7IFRNSN,  Medium (50-249),  Pharmaceutical,PHARMACEUTICAL DISTRIBUTION,  Cooperative,Segment 3,Philippines,Lanao del Norte,Iligan,66408706,172.0,1980
6M85KX8,Micro (<10),Educatio,Educational  Materials,LLC,Segment 3,Philippines,Camarines Sur,Bombon,1488789,3.0,1992
ENZHEGP,Medium (50-249),Sports,Sports  Coaching,Cooperative,Segment 2,Philippines,ilocos sur,Bantay,55347620,97.0,2015
BERC0QP,micro (<10),HEALTHCARE,dental services,  Sole Proprietorship,Segment 3,Philippines,Bulacan,SAN JOSE DEL MONTE,4891467,8.0,2012
HOZL0R9,micro (<10),Water,N/A,LLC,Segment 2,Philippines,Sulu,hadji panglima tahil,607320,1.592873856919995,1986
5M3YUU1,micro (<10),automotive,Auto Repair,Corporation,Segment 2,Philippines,Maguindanao,Datu Montawal,3339861,7.0,1990
PGAIRCX,Micro  (<10),HOSPITALITY,  Catering Services,  Cooperative,Segment 2,Philippines,bohol,Bilar,301350,1.846730656359644,1995
28K6KIN,Micro_(<10),Media,  Advertising,LLC,Segment 1,Philippines,Rizal,Jalajala,1891899,4.0,2007
VXJBFRQ,Micro (<10,Telecommunications,Broadband Services,Corporation,Segment 1,Philippines,Misamis Occidental,Calamba,3149401,8.506280114509986,1991
BU82G2W,Small (10-49,,Energy Efficiency,Partnership,Segment 1,Philippines,Palawan,Busuanga,32613419,33.0,2018
D9A6GK0,Medium  (50-249),Medi,publishing,Corporation,Segment 3,philippines,Ilocos Sur,Burgos,116068438,201.0,1997
CDLSJAQ,Medium  (50-249),Logistic,  Third-party Logistics,Partnership,Segment 1,Philippines,Isabela,Cabagan,111364767,168.57500060192575,1994
9NRH50W,Micro (<10),Agriculture,Coffee Production,Partnership,Segment 2,philippines,pampanga,Guagua,2497291,4.0,2008
ZNHMM1R,Small (10-49),Chemicals,Agricultural Chemicals,Corporation,Segment 4,Philippines,Camarines_Sur,Bombon,10530684,32.0,1990
608P17A,Micro (<10,,Solar_Energy,Partnership,Segment 1,Philippines,Lanao_del_Sur,Balindong,1025306,2.0,2002
GT787V4,SMALL (10-49),construction,roofing services,Sole Proprietorshi,Segment 2,PHILIPPINES,Antique,BUGASONG,23063774,37.66187074728149,1996
MWL0V50,Medium_(50-249),,Security Equipment,Cooperativ,Segment 3,Philippines,Cebu,Cebu City,100009436,146.0,1987
C6BPYOX,Small (10-49),Telecommunications,Network Services,LLC,Segment 1,Philippines,La_Union,Balaoan,8951778,27.11157651320229,1996
3XT4XGZ,small (10-49),Educatio,ONLINE LEARNING,LLC,Segment 1,Philippines,Ilocos Norte,dumalneg,13474147,22.1107383320961,1993
YMRUA9H,Small (10-49),Real Estate,construction development,Sole Proprietorship,Segment 1,Philippines,Maguindanao,Buluan,28511782,30.0,2002
249SFY4,Micro (<10),Financ,Microfinance,CORPORATION,Segment 1,Philippines,Rizal,Angono,4463290,9.0,2000
89Q11VG,micro (<10),agriculture,Poultry  Production,COOPERATIVE,Segment 4,Philippines,la union,Bauang,6786156,9.0,2010
BDATNYY,Small  (10-49),Technology,Cloud Services,sole proprietorship,Segment 4,Philippines,Davao  del  Sur,Magsaysay,32008803,47.878381904336244,1986
4RWVRTM,Medium (50-249),Automotive,Car Rental,Partnership,Segment 3,PHILIPPINES,South_Cotabato,Koronadal,49038212,85.0,2007
NIHC65G,Medium (50-249),telecommunications,  Internet Services,SOLE PROPRIETORSHIP,Segment 4,  Philippines,camarines sur,Iriga,66781587,95.0,1998
F1Z1OF0,SMALL (10-49),Real_Estate,Land Development,Sole Proprietorship,Segment 4,Philippines,Misamis  Occidental,Aloran,29661306,27.0,1991
7H9U1FT,Small (10-49),energy,Energy Storage,Partnership,Segment 1,Philippines,Eastern Samar,Borongan,10788367,11.0,2016
LROPEB1,  Medium (50-249),Water,WATER SERVICES,corporation,Segment 4,Philippines,Lanao  del  Sur,Binidayan,53906005,92.0,2008
QV7HRXB,micro (<10),Textiles,Fashion  Design,  LLC,Segment 2,Philippines,Cebu,Danao,4645890,7.0,2004
65H2SFU,Medium  (50-249),Finance,Tax  Services,Cooperative,Segment 4,Philippines,Aklan,MADALAG,261838790,242.0,2005
VZF5KJ7,medium (50-249),energy,Oil_&_Gas,Sole Proprietorship,Segment 4,Philippines,Eastern Samar,Balangiga,106828795,101.0,2004
2KE59OS,Micro (<10),Sports,Sports Equipment,Corporation,Segment 1,Philippines,Aklan,Altavas,4426004,8.0,2007
KKMNHYR,Micro  (<10),,Financial Planning,NULL,Segment 1,Philippines,Basilan,lamitan,1911865,2.0,1997
1AEJ79B,Small_(10-49),Transportation,Freight Forwarding,partnership,Segment 1,Philippines,Albay,tabaco,14914550,20.0,2011
CRYT2VO,micro (<10),  Textiles,  Embroidery Services,LLC,Segment 2,Philippines,Bukidnon,Kibawe,4559740,7.620953846520688,2010
YUB05UD,Small_(10-49),Retail,Online_Retail,Sole Proprietorship,Segment 4,Philippines,compostela valley,Laak,13573313,24.0,2015
9ULUUFI,Small (10-49),security,event security,Partnership,Segment 4,Philippines,metro manila,Pasay,19095214,43.0,1982
J4KPINS,Micro (<10,Construction,Building Materials,N/A,Segment 1,philippines,Eastern Samar,Guiuan,4443984,8.0,1998
HS2W5J0,Micro_(<10),Healthcare,Pharmacy,Partnership,Segment 2,Philippines,Sulu,JOLO,3669585,5.872633224085574,1990
5ZTROVV,small (10-49),Education,Tutorial  Services,Corporation,Segment 2,philippines,Masbate,Aroroy,13664566,32.0,1988
0PJLVPL,micro (<10),Entertainment,Event Management,Corporation,Segment 1,Philippines,NUEVA ECIJA,palayan,3497900,9.622021502200335,2016
VWWOZCW,Micro (<10),  Logistics,Express Delivery,LLC,Segment 1,Philippines,sorsogon,Gubat,1434802,2.0,2006
GYCO22J,micro (<10),Healthcare,,LLC,Segment 1,PHILIPPINES,Northern Samar,Gamay,6490202,8.0,1999
L36RNVU,medium (50-249),Real Estate,Construction  Development,Partnershi,Segment 4,Philippines,Metro Manila,Valenzuela,94329644,85.0,2001
FZINIOT,,logistics,Cargo Handling,Partnership,Segment 1,Philippines,Batangas,Calaca,1939488,6.0,2008
70M90IE,Small (10-49),Agriculture,livestock farming,Corporation,Segment 2,Philippines,Basilan,Hadji Muhtamad,15521251,37.0,2016
24QJ0O4,NULL,  Hospitality,Recreation Services,Cooperative,Segment 3,Philippines,masbate,Esperanza,2866113,4.0,1982
DRW6779,MICRO (<10),pharmaceutical,Medical Devices,Partnership,Segment 2,philippines,  Zamboanga del Sur,Pagadian,3909273,9.0,1981
DWHYP8Q,Medium_(50-249),Real  Estate,Land Development,Partnership,Segment 5,Philippines,Albay,Legazpi,57295104,91.0,1998
909WUMZ,Large (250+),Telecommunications,N/A,Partnership,Segment 5,Philippines,Lanao  del  Norte,  Kolambugan,514378997,976.0,1997
YWA6OQ7,MICRO (<10),Security,Security  Training,Corporation,Segment 1,philippines,Cagayan,Ballesteros,1200315,4.0,1988
XR8YQ5X,micro (<10),  Construction,General Contracting,Corporatio,Segment 2,Philippines,Pampanga,arayat,3159776,6.0,2006
HU1WFCE,  Micro (<10),Pharmaceutical,generic drugs,Partnership,Segment 1,Philippines,Rizal,Jalajala,637784,2.5988062479649776,1986
5NC59QC,Micro  (<10),Professional Services,Management_Consulting,SOLE PROPRIETORSHIP,Segment 1,Philippines,Pangasinan,Bayambang,5247008,7.0,1988
RANHBO7,Medium (50-249),Entertainment,Sports & Recreation,Corporation,Segment 1,Philippines,Zamboanga Sibugay,Ipil,68122244,103.0,2018
RVJ6GCN,Small  (10-49),  Mining,Stone Quarrying,Corporation,Segment 3,philippines,Compostela_Valley,Mabini,23846783,34.0,2017
ZA3OYFR,Micro_(<10),Waste Managemen,Waste_Disposal,Cooperative,Segment 2,Philippines,  Metro Manila,Caloocan,4601182,8.807779602651651,1991
GXIKWBO,Large (250+),Automotive,Vehicle Maintenance,Corporation,Segment 1,Philippines,zamboanga del sur,Bayog,304861716,509.0,1985
2W6R6G1,Micro  (<10),Retail,Convenience Stores,Sole_Proprietorship,Segment 1,Philippines,Metro Manila,Mandaluyong,4274988,9.0,2002
1AA19TH,N/A,Waste Managemen,NULL,Corporation,Segment 4,Philippines,Metro Manila,Parañaque,155595424,218.1504134231003,1991
JY9OFBL,small (10-49),Mining,Coal Mining,Cooperative,Segment 1,Philippines,LAGUNA,Los_Baños,32946852,35.0,1991
T77TYTY,Small (10-49),Energy,Power Generation,Cooperative,Segment 1,philippines,Ilocos Sur,CABUGAO,33627756,25.0,2017
IUTOZKK,micro (<10),retail,Grocery  Stores,LLC,Segment 2,Philippines,Negros  Oriental,Bayawan,3181781,5.0,1982
QQ6TNV0,Medium (50-249),sports,NULL,LLC,Segment 5,PHILIPPINES,Davao Oriental,banaybanay,148324931,187.0,1980
LY4J7CH,Small (10-49),Automotive,Vehicle Maintenance,cooperative,Segment 1,Philippines,Northern  Samar,Catubig,17503848,38.0,1996
O42Q2OZ,Micro (<10),Aviation,Charter Services,Cooperativ,Segment 3,Philippines,Tarlac,Mayantoc,5842048,9.0,1982
7GQC2V2,medium (50-249),Chemicals,Chemical Processing,Cooperative,Segment 3,Philippines,Tawi-Tawi,Mapun,80633887,200.0,2005
OVFDWS4,Small  (10-49),Agriculture,Vegetable Farming,Corporation,Segment 1,Philippines,Compostela_Valley,Mabini,14262176,36.0,1989
BQJI4BX,small (10-49),Real_Estate,Property Development,sole proprietorship,Segment 3,Philippines,Camarines Sur,Naga,43802172,37.0,2007
EH1LYO7,Micro (<10,Water,Bottled_Water,Partnership,Segment 2,PHILIPPINES,South  Cotabato,surallah,2279725,5.0,1986
5IPCTJV,Micro  (<10),Real Estate,Real Estate Investment,Cooperative,Segment 3,Philippines,Maguindanao,Barira,8011103,8.396953788916795,2011
9UZM9XZ,Small (10-49),Professional Services,HR  Services,corporation,Segment 3,  Philippines,Masbate,aroroy,20473730,37.0,2000
CXAJM9I,Small (10-49),Finance,Accounting Services,Corporation,Segment 2,philippines,Ilocos_Sur,Banayoyo,8235477,16.0,1981
Z4B1MR3,small (10-49),Aviation,air cargo,Sole Proprietorshi,Segment 1,Philippines,Nueva Ecija,San  Jose,25350148,38.0,1984
OQP1UHJ,SMALL (10-49),Financ,Bookkeeping,Partnership,Segment 4,Philippines,Pangasinan,San  Carlos,19658520,28.361456245001385,1982
IXZCWKJ,  Small (10-49),  Pharmaceutical,Medical Supplies,Cooperativ,Segment 1,Philippines,Tawi-Tawi,SITANGKAI,10730587,22.0,1999
8VHOGSQ,Medium  (50-249),Aviation,Aviation_Insurance,cooperative,Segment 1,  Philippines,Metro Manila,Pasig,73256316,161.0,1985
JQM0B74,Medium  (50-249),Technology,  Software Development,Corporation,Segment 1,Philippines,Antique,Laua-an,87369040,125.0,1989
RE0F5HU,small (10-49),Security,Security Consulting,  Sole Proprietorship,Segment 2,Philippines,Albay,MALILIPOT,28707907,48.0,2018
FRUOCBD,Small (10-49,  Telecommunications,Internet  Services,LLC,Segment 3,Philippines,Northern  Samar,allen,23170979,36.0,2018
Q1R6OV0,Micro (<10),Pharmaceutical,diagnostic equipment,  Cooperative,Segment 1,philippines,Misamis  Oriental,alubijid,4303880,9.0,2001
6O4UCB8,  Micro (<10),mining,Copper  Mining,Corporation,Segment 2,Philippines,lanao del sur,Bubong,6399266,5.0,1991
W04GDNJ,Micro (<10),Security,CYBER SECURITY,  Corporation,Segment 1,Philippines,Compostela  Valley,Compostela,3653910,5.269216414195382,1993
HR0R559,medium (50-249),telecommunications,Telecommunications_Equipment,Corporation,Segment 3,PHILIPPINES,Zamboanga  Sibugay,Imelda,107737814,175.0,2003
CLA0MQH,small (10-49),Entertainment,EVENT MANAGEMENT,Partnership,Segment 1,  Philippines,Northern Samar,Bobon,17945098,44.0,2003
B81946W,Small_(10-49),telecommunications,Mobile_Services,Sole Proprietorship,Segment 3,  Philippines,Lanao del Sur,Marawi,25007615,32.0,2004
F14HEQI,,Telecommunications,  Broadband Services,Corporation,Segment 2,PHILIPPINES,PANGASINAN,Alaminos,6889628,9.88425765818226,2013
7Y9PRM0,Medium (50-249),Mining,Iron_Ore_Mining,Partnership,Segment 4,philippines,Zamboanga  del  Norte,  Dapitan,103072672,190.1619898321086,1987
1O9CDEZ,Micro_(<10),Education,Educational Materials,Partnership,Segment 1,Philippines,  Iloilo,barotac viejo,1877960,3.0,2002
TWH66GV,Micro (<10),  Marine,marine insurance,LLC,Segment 1,Philippines,Cavite,Las Piñas,1440924,2.0,1998
WECJSNU,Micro (<10,CONSTRUCTION,roofing services,Cooperative,Segment 1,philippines,Davao Oriental,Caraga,386575,1.185788641415619,1989
U7QRQBA,micro (<10),Finance,MICROFINANCE,llc,Segment 4,Philippines,Davao Oriental,manay,2906479,5.0,1991
1SCSTYK,NULL,Furniture,Office_Furniture,  Partnership,Segment 4,Philippines,Cagayan,Tuguegarao,50135111,88.0,1982
WG0MQ5Z,Small_(10-49),  Manufacturing,food processing,LLC,Segment 1,Philippines,  Aklan,Ibajay,12671615,23.0,1996
G3QMX40,N/A,Energy,Energy Storage,Corporation,Segment 3,PHILIPPINES,Tawi-Tawi,South Ubian,7706683,10.0,1985
BKTISGE,Large  (250+),Sports,Sports  Coaching,Sole Proprietorship,Segment 4,Philippines,SARANGANI,Glan,280143605,450.0,1982
S4YDM9C,micro (<10),education,Skills Training,Sole_Proprietorship,Segment 2,PHILIPPINES,Isabela,Cabatuan,384733,1.5933839483003247,1985
EEYZS39,Micro (<10),Beauty & Wellness,Health & Beauty,Cooperative,Segment 2,Philippines,Maguindanao,Datu Anggal Midtimbang,562055,1.0,2004
FHXCD5A,Micro (<10),Energy,Energy  Efficiency,Corporation,Segment 1,philippines,Zamboanga del Norte,Kalawit,5873096,6.302839820745527,2002
PI4Q4WF,Micro (<10),Healthcare,veterinary services,Partnership,Segment 1,Philippines,Samar,Jiabong,1868971,2.8873998131930323,2006
ZIA8TFJ,medium (50-249),Media,Digital_Media,LLC,Segment 4,Philippines,Maguindanao,Shariff Aguak,31961772,80.0,2007
XQ5K7XE,Large (250+),retail,Specialty Retail,Partnership,Segment 4,Philippines,leyte,Baybay,679152886,1046.0,2004
BNIJG1Y,Micro (<10),Pharmaceutical,Medical Devices,Sole  Proprietorship,Segment 3,philippines,Sultan_Kudarat,Lambayong,2917824,4.0,1997
9TZZVIE,Small (10-49),Retail,clothing & apparel,LLC,Segment 1,PHILIPPINES,Cagayan,Tuguegarao,8221609,16.844817823256797,1992
L6YYDDI,micro (<10),Securit,Access_Control,Corporation,Segment 1,Philippines,LA UNION,bauang,1205404,3.0,2011
NNBMC3R,Micro (<10),Textiles,Textile Design,Corporation,Segment 3,Philippines,Zamboanga Sibugay,Imelda,2170745,4.0,1994
I5KXGH6,Medium  (50-249),Agriculture,Coconut_Production,Cooperative,Segment 4,Philippines,Iloilo,Iloilo_City,72899914,146.0,2017
